Title,Authors,Journal
A Comprehensive Survey on Graph Neural Networks,Zonghan Wu; Shirui Pan; Fengwen Chen; Guodong Long; Chengqi Zhang; Philip S. Yu,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS
Graph neural network for traffic forecasting: A survey,Weiwei Jianga; Jiayun Luo,Expert Systems With Applications
Cellular traffic prediction with machine learning: A survey,Weiwei Jiang,Expert Systems with Applications
Traffic prediction using artificial intelligence: Review of recent advances and emerging opportunities,Maryam Shaygan; Collin Meese; Wanxin Li; Xiaoliang (George) Zhao; Mark Nejad,Transportation Research Part C: Emerging Technologies
"Traffic flow prediction using big data and gis: a survey of data sources, frameworks, challenges, and opportunities",Sayed Ahmed; Yasser Abdel-Hamid; Hesham A Hefny,International Journal of Computing and Digital Systems
Dl-traff: Survey and benchmark of deep learning models for urban traffic prediction,Renhe Jiang; Du Yin; Zhaonan Wang; Yizhuo Wang; Jiewen Deng; Hangchen Liu; Zekun Cai; Jinliang Deng; Xuan Song; Ryosuke Shibasaki,Proceedings of the 30th ACM International Conference on Information & Knowledge Management
Short-Term Traffic Prediction With Deep Neural Networks: A Survey,Kyungeun Lee; Moonjung Eo; Euna Jung; Yoonjin Yoon; Wonjong Rhee,IEEE Access
Traffic prediction using multifaceted techniques: A survey,Shiju George; Ajit Kumar Santra,Wireless Personal Communications
"A Survey on Modern Deep Neural Network for Traffic Prediction: Trends, Methods and Challenges",David Alexander Tedjopurnomo; Zhifeng Bao; Baihua Zheng; Farhana Murtaza Choudhury; A. K. Qin,IEEE Transactions on Knowledge and Data Engineering
Short-term real-time traffic prediction methods: A survey,Joaquim Barros; Miguel Araujo; Rosaldo J. F. Rossetti,2015 International Conference on Models and Technologies for Intelligent Transportation Systems (MT-ITS)
A survey of traffic prediction: from spatio-temporal data to intelligent transportation,Haitao Yuan; Guoliang Li,Data Science and Engineering
Survey on traffic prediction in smart cities,Attila M Nagy; Vilmos Simon,Pervasive and Mobile Computing
Deep learning methods in short-term traffic prediction: A survey,Yue Hou; Xin Zheng; Chengyan Han; Wei Wei; Rafał Scherer; Dawid Połap,Information Technology and Control
Big data for traffic estimation and prediction: a survey of data and tools,Weiwei Jiang; Jiayun Luo,Applied System Innovation
Traffic flow prediction models--A review of deep learning techniques,Anirudh Ameya Kashyap; Shravan Raviraj; Ananya Devarakonda; Shamanth R Nayak K; Santhosh KV; Soumya J Bhat,Cogent Engineering
A survey on traffic flow prediction and classification,Bernardo Gomes; José Coelho; Helena Aidos,Intelligent Systems with Applications
Survey of neural network-based models for short-term traffic state prediction,Loan N. N. Do; Neda Taherifar; Hai L. Vu,Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery
A Survey on Traffic Flow Prediction Methods,Kevin Irawan; Rahadian Yusuf; Ary Setijadi Prihatmanto,2020 6th International Conference on Interactive Digital Media (ICIDM)
Artificial intelligence-based traffic flow prediction: a comprehensive review,Sayed A Sayed; Yasser Abdel-Hamid; Hesham Ahmed Hefny,Journal of Electrical Systems and Information Technology
Urban traffic flow prediction techniques: A review,Boris Medina-Salgado; Eddy Sánchez-DelaCruz; Pilar Pozos-Parra; Javier E. Sierra,Sustainable Computing: Informatics and Systems
A review of traffic congestion prediction using artificial intelligence,Mahmuda Akhtar; Sara Moridpour,Journal of Advanced Transportation
"Deep learning models for traffic flow prediction in autonomous vehicles: A review, solutions, and challenges",Arzoo Miglani; Neeraj Kumar,Vehicular Communications
Road traffic noise prediction models: a review,H. N. Rajakumara; R. M. Mahalinge Gowda,International Journal of Sustainable Development and Planning
A Survey on IoT Based Traffic Control and Prediction Mechanism,Sourav Banerjee; Chinmay Chakraborty; Sumit Chatterjee,Internet of Things and Big Data Analytics for Smart Generation (Book Chapter)
Traffic prediction with graph neural network: A survey,Zhanghui Liu; Huachun Tan,CICTP 2021
A Comparative Study on Traffic Modeling Techniques for Predicting and Simulating Traffic Behavior,Taghreed Alghamdi; Sifatul Mostafi; Ghadeer Abdelkader; Khalid Elgazzar,Future Internet
"Short-Term Traffic Prediction Using Deep Learning Long Short-Term Memory: Taxonomy, Applications, Challenges, and Future Trends",Anwar Khan; Mostafa M. Fouda; Dinh-Thuan Do; Abdulaziz Almaleh; Atiq Ur Rahman,IEEE Access
"Data Sources for Urban Traffic Prediction: A Review on Classification, Comparison and Technologies",Ashwini B P; R Sumathi,2020 3rd International Conference on Intelligent Sustainable Systems (ICISS)
"Gap, techniques and evaluation: traffic flow prediction using machine learning and deep learning",Noor Afiza Mat Razali; Nuraini Shamsaimon; Khairul Khalil Ishak; Suzaimah Ramli; Mohd Fahmi Mohamad Amran; Sazali Sukardi,Journal of Big Data
Deep Learning for Network Traffic Monitoring and Analysis (NTMA): A Survey,Mahmoud Abbasi; Amin Shahraki; Amir Taherkordi,Computer Communications
Bibliometric methods in traffic flow prediction based on artificial intelligence,Yong Chen; Wanru Wang; Xiqun Michael Chen,Expert Systems with Applications
Hybrid Statistical and Machine Learning Methods for Road Traffic Prediction: A Review and Tutorial,Bdoor Alsolami; Rashid Mehmood; Aiiad Albeshri,Smart Infrastructure and Applications (Book Chapter)
"A survey of traffic prediction based on deep neural network: Data, methods and challenges",Pengfei Cao; Fei Dai; Guozhi Liu; Jinmei Yang; Bi Huang,International Conference on Cloud Computing
Traffic efficiency models for urban traffic management using mobile crowd sensing: A survey,Akbar Ali; Nasir Ayub; Muhammad Shiraz; Niamat Ullah; Abdullah Gani; Muhammad Ahsan Qureshi,Sustainability
"Intelligent traffic management: A review of challenges, solutions, and future perspectives",Roopa Ravish; Shanta Ranga Swamy,Transport and Telecommunication Journal
Review of Data Fusion Methods for Real-Time and Multi-Sensor Traffic Flow Analysis,Shafiza Ariffin Kashinath; Salama A. Mostafa; Aida Mustapha; Hairulnizam Mahdin; David Lim; Mazin Abed Mohammed; Bander Ali Saleh Al-Rimy; Mohd Farhan Md Fudzee; Tan Jhon Yang,IEEE Access
Survey on research of RNN-based spatio-temporal sequence prediction algorithms,Wei Fang; Yupeng Chen; Qiongying Xue,Journal on Big Data
Spatial-temporal graph neural network for traffic forecasting: An overview and open research issues,Khac-Hoai Nam Bui; Jiho Cho; Hongsuk Yi,Applied Intelligence
Behavior Prediction of Traffic Actors for Intelligent Vehicle Using Artificial Intelligence Techniques: A Review,Suresh Kolekar; Shilpa Gite; Biswajeet Pradhan; Ketan Kotecha,IEEE Access
Traffic management approaches using machine learning and deep learning techniques: A survey,Hanan Almukhalfi; Ayman Noor; Talal H. Noor,Engineering Applications of Artificial Intelligence
Graph neural networks for traffic pattern recognition: An overview,Elham Binshaflout; Hakim Ghazzai; Yehia Massoud,2023 IEEE International Conference on Smart Mobility (SM)
An overview of internet of vehicles,Fangchun Yang; Shangguang Wang; Jinglin Li; Zhihan Liu; Qibo Sun,China Communications
Diffusion models for intelligent transportation systems: A survey,Mingxing Peng; Kehua Chen; Xusen Guo; Qiming Zhang; Hui Zhong; Meixin Zhu; Hai Yang,IEEE Transactions on Intelligent Transportation Systems
A Review of Traffic Flow Prediction Methods in Intelligent Transportation System Construction,Runpeng Liu; Seong-Yoon Shin,Applied Sciences
A Review of Graph-Based Traffic Flow Prediction: Methods and Challenges,Kewei Sun,2025 40th Youth Academic Annual Conference of Chinese Association of Automation (YAC)
A survey of traffic flow prediction methods based on long short-term memory networks,Bao-Lin Ye; Mingjian Zhang; Lingxi Li; Chunyuan Liu; Weimin Wu,IEEE Intelligent Transportation Systems Magazine
A Comparative Study for the Traffic Predictions in Smart Cities Using Artificial Intelligence Techniques: Survey,Nancy Shaar; Mohammad Alshraideh; Iyad Muhsen AlDajani,"Reconciliation, Conflict Transformation, and Peace Studies (Book Chapter)"
A Review on Developments in Evolutionary Computation Approaches for Road Traffic Flow Prediction,Bharti Naheliya; Poonam Redhu; Kranti Kumar,Archives of Computational Methods in Engineering
A Survey of Large Language Models for Traffic Forecasting: Methods and Applications,Qingqing Long; Shuai Liu; Ning Cao; Zhicheng Ren; Wei Ju; Chen Fang; Zhihong Zhu; Hengshu Zhu; Yuanchun Zhou,Authorea Preprints
A systematic survey on big data and artificial intelligence algorithms for intelligent transportation system,S Abirami; M Pethuraj; M Uthayakumar; P Chitra,Case Studies On Transport Policy
A comprehensive survey on communication techniques for the realization of intelligent transportation systems in IoT based smart cities,Y Rajkumar; SVN Santhosh Kumar,Peer-to-Peer Networking and Applications
Advances in Traffic Congestion Prediction: An Overview of Emerging Techniques and Methods,Aristeidis Mystakidis; Paraskevas Koukaras; Christos Tjortjis,Smart Cities
An overview based on the overall architecture of traffic forecasting,Lilan Peng; Xuehua Liao; Tianrui Li; Xiangyu Guo; Xiu Wang,Data Science and Engineering
"Deep learning on traffic prediction: Methods, analysis, and future directions","Yin, Xueyan and Wu, Genze and Wei, Jinze and Shen, Yanming and Qi, Heng and Yin, Baocai",IEEE Transactions on Intelligent Transportation Systems
Challenges of Integrating Spatiotemporal Data with AI/ML Models for Road Traffic Congestion Prediction,Mohammad Alam,Journal of Advanced Artificial Intelligence
Deep Learning Algorithms for Traffic Forecasting: A Comprehensive Review and Comparison with Classical Ones,Shahriar Afandizadeh; Saeid Abdolahi; Hamid Mirzahossein,Journal of Advanced Transportation
Forecasting network traffic: A survey and tutorial with open-source comparative evaluation,Gabriel O Ferreira; Chiara Ravazzi; Fabrizio Dabbene; Giuseppe C Calafiore; Marco Fiore,IEEE Access
Graph neural network for traffic forecasting: The research progress,Weiwei Jiang; Jiayun Luo; Miao He; Weixi Gu,ISPRS International Journal of Geo-Information
In-depth insights into the application of recurrent neural networks (rnns) in traffic prediction: A comprehensive review,Yuxin He; Ping Huang; Weihang Hong; Qin Luo; Lishuai Li; Kwok-Leung Tsui,Algorithms
"Intelligent Transport Systems: Methods, Challenges and Future Trends in Traffic Flow Forecasting",Ruilin Li; Yokeseng Wong; Honghong Li; Hoiyeh Lee,Journal of Simulation
Prediction of the traffic incident duration using statistical and machine-learning methods: A systematic literature review,Huseyin Korkmaz; Mehmet Ali Erturk,Technological Forecasting and Social Change
Recent advances in traffic accident analysis and prediction: a comprehensive review of machine learning techniques,Noushin Behboudi; Sobhan Moosavi; Rajiv Ramnath,arXiv preprint arXiv:2406.13968
Heterogeneous data integration: Challenges and opportunities,"IM Putrama, P Martinek",Data in Brief
Road Traffic Congestion Prediction using AI/ML and Spatiotemporal Data: Literature Review,Mohammad Alam,Journal of Advanced Artificial Intelligence
Short-term traffic forecasting model: prevailing trends and guidelines,Kian Lun Soon; Robin Kuok Cheong Chan; Joanne Mun-Yee Lim; Rajendran Parthiban,Transportation Safety and Environment
Traffic management systems: a survey of current solutions and emerging technologies,Wael Etaiwi; Sahar Idwan,Journal of Computational Social Science
Unlocking the full potential of deep learning in traffic forecasting through road network representations: A critical review,Panagiotis Fafoutellis; Eleni I. Vlahogianni,Data Science for Transportation
Using Machine Learning and Deep learning for traffic congestion prediction: a review,Adriana-Simona Mihaita; Zhulin Li; Harshpreet Singh; Nabin Sharma; Mao Tuo; Yuming Ou,Handbook on Artificial Intelligence and Transport
Emerging Trends in Graph Neural Networks for Traffic Flow Prediction: A Survey,Guangrui Fan; Aznul Qalid Md Sabri; Siti Soraya Abdul Rahman; Lihu Pan; Susanto Rahardja,Archives of Computational Methods in Engineering
Road traffic accident prediction modelling: a literature review,George Yannis; et al.,Proceedings of the Institution of Civil Engineers - Transport
Velocity Prediction Based on Vehicle Lateral Risk Assessment and Traffic Flow: A Brief Review and Application Examples,Lin Li; et al.,Energies
Feature selection and extraction in spatiotemporal traffic forecasting: a systematic literature review,D Pavlyuk,European Transport Research Review
Deep learning for trajectory data management and mining: A survey and beyond,Wei Chen; et al.,arXiv preprint arXiv:2403.14151
Beyond Traditional Methods: Exploring Deep Learning Techniques for Accurate Traffic Projection,Avinash Jha; et al.,2024 International Conference on Emerging Trends in Networks and Computer Communications (ETNCC)
Current Traffic Flow Modeling Problems,Andrey Petrov,2024 7th International Conference on Information Technologies in Engineering Education (Inforino)
Short-Term Traffic Flow Prediction Methods: A Survey,Yijing Zhang,Journal of Physics: Conference Series